Vsevidof,53.13,-168.693
Makushin,53.891,-166.923
Akutan,54.134,-165.986
Fisher,54.65,-164.43
Shishaldin,54.756,-163.97
Amak,55.424,-163.149
Pavlof,55.417,-161.894
Kupreanof,56.011,-159.797
Veniaminof,56.17,-159.38
Chiginagak,57.135,-156.99
Ugashik-Peulik,57.751,-156.368
Trident,58.236,-155.1
Katmai,58.28,-154.963
Fourpeaked,58.77,-153.672
Iliamna,60.032,-153.09
Redoubt,60.485,-152.742
Spurr,61.299,-152.251
Rainier,46.853,-121.76
St. Helens,46.2,-122.18
Hood,45.374,-121.695
Shasta,41.409,-122.193
Lassen Volcanic Center,40.492,-121.508
Ceboruco,21.125,-104.508
Orizaba  Pico de,19.03,-97.27
Tacana,15.132,-92.109
Santa Maria,14.756,-91.552
Almolonga,14.797,-91.519
Santa Ana,13.853,-89.63
Izalco,13.813,-89.633
San Salvador,13.734,-89.294
San Miguel,13.434,-88.269
Cosiguina,12.98,-87.57
San Cristobal,12.702,-87.004
Momotombo,12.422,-86.54
Concepcion,11.538,-85.622
Miravalles,10.748,-85.153
Arenal,10.463,-84.703
Poas,10.2,-84.233
Irazu,9.979,-83.852
Turrialba,10.025,-83.767
Baru,8.808,-82.543
Ruiz  Nevado del,4.892,-75.324
Tolima  Nevado del,4.658,-75.33
Huila  Nevado del,2.93,-76.03
Dona Juana,1.5,-76.936
Cumbal,0.95,-77.87
Reventador,-0.077,-77.656
Guagua Pichincha,-0.171,-78.598
Antisana,-0.481,-78.141
Cotopaxi,-0.677,-78.436
Tungurahua,-1.467,-78.442
Sangay,-2.005,-78.341
Misti  El,-16.294,-71.409
Ubinas,-16.355,-70.903
Huaynaputina,-16.608,-70.85
Guallatiri,-18.42,-69.092
Isluga,-19.15,-68.83
Irruputuncu,-20.73,-68.55
Putana,-22.557,-67.853
Llullaillaco,-24.72,-68.53
Tupungatito,-33.425,-69.797
Tinguiririca,-34.814,-70.352
Azul  Cerro,-35.653,-70.761
Chillan  Nevados de,-36.863,-71.377
Antuco,-37.406,-71.349
Copahue,-37.856,-71.183
Callaqui,-37.92,-71.45
Lonquimay,-38.379,-71.586
Llaima,-38.692,-71.729
Villarrica,-39.42,-71.93
Quetrupillan,-39.5,-71.7
Puyehue-Cordon Caulle,-40.59,-72.117
Puntiagudo-Cordon Cenizos,-40.969,-72.264
Osorno,-41.105,-72.496
Calbuco,-41.33,-72.618
Michinmahuida,-42.799,-72.445
Mentolat,-44.7,-73.08
Hudson  Cerro,-45.9,-72.97
Arenales,-47.2,-73.48
Lautaro,-49.02,-73.55
Burney  Monte,-52.33,-73.4
Saba,17.63,-63.23
Soufrière Hills,16.72,-62.18
Soufriere Guadeloupe,16.044,-61.664
Pelee,14.809,-61.165
Soufrière St. Vincent,13.33,-61.18
Eyjafjallajokull,63.633,-19.633
Torfajokull,63.8,-19.133
Hekla,63.983,-19.666
Bardarbunga,64.633,-17.516
Kverkfjoll,64.653,-16.647
Askja,65.033,-16.783
Oraefajokull,64.05,-16.633
Jan Mayen,71.087,-8.146
Fayal,38.6,-28.73
Pico,38.47,-28.4
Sete Cidades,37.87,-25.78
Agua de Pau,37.77,-25.47
Furnas,37.77,-25.32
Tenerife,28.271,-16.641
Fogo,14.95,-24.35
Nightingale Island,-37.42,-12.48
Buckle Island,-66.78,163.25
Erebus,-77.53,167.17
Penguin Island,-62.1,-57.93
Bristol Island,-59.017,-26.533
Saunders,-57.8,-26.483
Candlemas Island,-57.08,-26.67
Zavodovski,-56.3,-27.57
Vulcano,38.404,14.962
Etna,37.734,15.004
White Island,-37.52,177.18
Tongariro,-39.157,175.632
Krummel-Garbuna-Welcker,-5.416,150.027
Epi,-16.68,168.37
Tandikat-Singgalang,-0.39,100.331
Dempo,-4.03,103.13
Perbakti-Gagak,-6.75,106.7
Gede-Pangrango,-6.77,106.965
Papandayan,-7.32,107.73
Tengger Caldera,-7.942,112.95
Ijen,-8.058,114.242
Lewotobi,-8.542,122.775
Lokon-Empung,1.358,124.792
Gamalama,0.8,127.33
Camiguin,9.203,124.673
Bulusan,12.77,124.05
Babuyan Claro,19.523,121.94
Yokoate-jima,28.797,128.997
Suwanosejima,29.638,129.714
Nakanoshima,29.859,129.857
Kuchinoerabujima,30.443,130.217
Kujusan,33.086,131.249
Yakedake,36.227,137.587
Kusatsu-Shiranesan,36.618,138.528
Nasudake,37.125,139.963
Adatarayama,37.647,140.281
Azumayama,37.735,140.244
Chokaisan,39.099,140.049
Akita-Komagatake,39.761,140.799
