Ambient Temperature,Ambient Humidity,Light Intensity (PAR),Phi2,vH+,Relative Chlorophyll,Thickness,Leaf Angle,Leaf Temperature Differential
38.54,48.783,701.942,0.426,0.203,48.28,0.15,56.63399999999999,-5.65
38.49,42.492,249.348,0.5870000000000001,0.07400000000000001,58.7,0.34,70.33,-7.74
37.89,51.276,217.933,0.581,0.047,45.63,0.14,49.642,-7.1
37.61,48.056,498.68300000000005,0.481,0.175,51.92,0.36,64.712,-5.28
37.41,44.72,280.0,0.568,0.105,43.06,0.16,57.996,-4.7
36.23,43.687,322.531,0.562,0.07200000000000001,49.62,0.17,59.367,-5.37
36.23,45.682,497.011,0.4970000000000001,0.162,43.84,0.11,71.057,-4.9
36.21,45.457,537.0169999999998,0.387,0.14800000000000002,31.75,0.04,79.727,-4.62
35.85,51.812,342.367,0.562,0.134,36.9,0.34,59.411,-3.89
35.77,50.404,669.191,0.52,0.172,49.02,0.24,46.82100000000001,-3.84
35.86,50.493,140.686,0.618,0.029,44.88,0.29,67.183,-4.57
35.79,42.995,182.206,0.5760000000000001,0.051,47.06,0.54,79.215,-3.8
34.83,51.85,125.06,0.6459999999999999,0.0,56.46,4.94,68.551,-5.36
34.71,51.265,248.409,0.58,0.112,56.5,0.62,44.31,-9.28
34.59,52.919,269.666,0.556,0.0,52.39,1.52,14.56,-7.56
33.23,56.28100000000001,723.8489999999998,0.463,0.201,47.96,0.26,18.403,-4.52
32.98,59.359,575.575,0.478,0.163,53.24,0.44,37.109,-4.55
32.49,58.279,564.761,0.443,0.18600000000000005,39.24,0.1,27.306,-2.09
34.91,54.442,1495.075,0.404,0.273,44.08,0.3,40.358,-3.36
34.72,53.274,519.007,0.516,0.185,41.75,0.2,30.262,-4.29
34.41,52.827,371.801,0.541,0.139,50.37,0.87,10.536,-6.52
36.81,42.477,988.523,0.162,0.042,14.82,0.12,60.023,-3.0
36.07,46.053,1723.013,0.333,0.269,40.86,0.69,14.963,-5.06
36.03,45.323,1375.996,0.268,0.221,33.9,0.28,63.323,-4.14
36.0,47.655,1431.0220000000004,0.41,0.279,45.91,0.27,41.896,-5.25
35.65,51.979,992.357,0.417,0.021,54.76,3.83,55.631,-4.54
35.56,51.611,735.342,0.4270000000000001,0.175,55.34,0.99,86.227,-7.75
35.52,53.238,399.64,0.452,0.145,46.16,0.46,85.785,-2.75
35.5,53.15600000000001,323.796,0.531,0.092,42.75,0.71,79.946,-8.25
31.04,59.716,857.368,0.409,0.195,51.14,0.51,19.944000000000006,-3.01
31.21,60.871,873.385,0.422,0.2,48.07,0.42,75.204,-1.78
31.25,60.968,447.103,0.521,0.124,53.86,0.52,59.574,-4.32
31.35,60.486,854.138,0.402,0.243,52.29,0.34,58.489,-3.14
31.41,59.831,429.723,0.515,0.101,50.64,0.89,78.406,-3.35
31.37,60.545,1187.474,0.393,0.215,52.65,0.73,59.74100000000001,-4.8
31.44,61.521,843.78,0.381,0.185,53.7,0.5,45.956,-5.01
31.59,61.383,178.116,0.5670000000000001,0.066,49.12,0.88,77.007,-2.78
33.5,66.726,537.57,0.535,0.0,29.86,5.39,32.88,-2.71
33.78,66.25399999999999,353.1140000000001,0.569,0.083,57.06,1.2,24.501,-1.67
33.97,65.779,410.537,0.42,0.083,53.63,0.44,0.643,-2.04
34.34,60.68899999999999,279.524,0.5670000000000001,0.079,46.69,0.37,23.328000000000007,-2.8
34.44,61.502,92.447,0.608,0.024,41.95,0.33,77.45,-2.63
34.54,61.076,740.5989999999998,0.5,0.162,49.42,0.54,31.792,-3.75
34.61,61.36,790.9069999999998,0.377,0.18,38.18,0.3,22.682,-1.9
38.18,48.172,1979.377,0.329,0.381,50.25,0.64,55.246,-1.56
38.28,44.929,1936.585,0.334,0.337,50.68,0.89,40.82,-3.89
